/wiki/37th_Regiment_of_Foot,1702–1881,  Kingdom of England (1689–1707)   Kingdom of Great Britain (1707–1800)   United Kingdom (1801–1881),  British Army,Infantry,,,"Lower Barracks , Winchester",,,,War of the Spanish Succession War of the Austrian Succession American Revolutionary War French Revolutionary Wars Napoleonic Wars Matale rebellion Indian Rebellion,,"1 battalion (2 battalions 1756–1758, 1813–1817)",,,,
/wiki/38th_Regiment_of_Foot,1705–1881,  Kingdom of England (1705–1707)   Kingdom of Great Britain (1707–1800)   United Kingdom (1801–1881),  British Army,Infantry,,,"Whittington Barracks , Lichfield",,,,American Revolutionary War French Revolutionary Wars Napoleonic Wars Fifth Xhosa War First Anglo-Burmese War Crimean War Indian Rebellion,,1 battalion (2 battalions 1804–1814),,,,
/wiki/39th_Regiment_of_Foot,1702 to 1881,  Kingdom of England (1702–1707)   Kingdom of Great Britain (1707–1800)   United Kingdom (1801–1881),  British Army,Infantry,,,"Dorchester Barracks , Dorchester","""Shankey's Horses"" , ""The Green Linnets"", ""The Flamers"".",,,War of the Spanish Succession War of the Austrian Succession Seven Years' War French Revolutionary Wars Napoleonic Wars Coorg War Gwalior Campaign Crimean War,,One battalion (2 battalions 1803–1815),,,,
/wiki/40th_Regiment_of_Foot,1717–1881,  Kingdom of Great Britain (1717–1800)   United Kingdom (1801–1881),  British Army,Line Infantry,Light Infantry,,"Peninsula Barracks, Warrington","""The Excellers"", ""The Fighting Fortieth""",,,Father Rale's War King George's War Father Le Loutre's War French and Indian War American Revolutionary War Napoleonic Wars War of 1812 First Anglo-Afghan War Gwalior Campaign New Zealand Wars,,"One battalion (2 battalions 1799-1802, 1804-1816)",,,,
/wiki/41st_Regiment_of_Foot,1719–1881,  Kingdom of Great Britain (1719–1800)   United Kingdom (1801–1881),  British Army,Line Infantry,Light Infantry,,Maindy Barracks in Cardiff,,,,War of 1812 First Anglo-Burmese War First Anglo-Afghan War Crimean War,,One battalion (2 battalions in 1813),,,,
/wiki/Oglethorpe%2527s_Regiment_(42nd),,,,,,,,,,,,,,,,,
/wiki/42nd_Regiment_of_Foot,1661–1718 1725–1881,  Scotland (1661–1707)   Kingdom of Great Britain (1707–1718; 1725–1800)   United Kingdom (1801–1881),  British Army,Line Infantry,,,"Queen's Barracks , Perth",Black Watch Forty-Twa Black Jocks,(Scotland's) Nemo me impune lacessit,,War of the Austrian Succession French and Indian War American War of Independence Peninsular War Indian Mutiny,,,,,"Egypt 1801 Corunna Peninsula Waterloo Alma, Sevastopol Lucknow Ashanti",
/wiki/Gooch%2527s_American_Regiment,,,,,,,,,,,,,,,,,
/wiki/43rd_Regiment_of_Foot,1741–1881,  Kingdom of Great Britain (1741–1800)   United Kingdom (1801–1881),  British Army,Infantry,,,"Copthorne Barracks , Shrewsbury",,,,Seven Years War American War of Independence Peninsular War Battle of New Orleans Indian Mutiny New Zealand Wars,,One battalion (two battalions 1804–1817),,,,
/wiki/44th_Regiment_of_Foot,1741–1881,  Kingdom of Great Britain (1741–1800)   United Kingdom (1801–1881),  British Army,,Infantry,,"Warley Barracks , Brentwood",The Fighting Fours,,,Jacobite rising French and Indian War American Revolutionary War French Revolutionary Wars Napoleonic Wars First Anglo-Burmese War First Anglo-Afghan War Crimean War Second Opium War,,One battalion (two battalions 1803–1816),,James Long Charles Staveley,,
/wiki/45th_Regiment_of_Foot,1741–1881,  Kingdom of Great Britain (1741–1800)   United Kingdom (1801–1881),  British Army,Line Infantry,Infantry,,"Glen Parva Barracks , Leicestershire","""Old Stubborns""",,,Father Le Loutre's War French and Indian War American Revolutionary War Peninsular War First Anglo-Burmese War Xhosa Wars,,One battalion (two battalions 1804–1814),,,,
/wiki/46th_Regiment_of_Foot,1741–1881,  Kingdom of Great Britain (1741–1800)   United Kingdom (1801–1881),  British Army,Line Infantry,Light Infantry,,,"The Red Feathers , Murray's Bucks , The Surprisers , The Lacedemonians .",,,Jacobite rising French and Indian War American Revolutionary War Napoleonic Wars Crimean War,,One battalion (two battalions 1800–1802),,,,
/wiki/47th_Regiment_of_Foot_(4th_Marines),1739–1748,  Kingdom of Great Britain,  British Army,Infantry,Marine corps,,,,,,War of Jenkins' Ear,,Battalion,,John Wynyard George Byng James Long,,
/wiki/47th_Regiment_of_Foot,1741–1881,  Kingdom of Great Britain (1741–1800)   United Kingdom (1801–1881),  British Army,,,,"Fulwood Barracks , Lancashire","The Cauliflowers , The Lancashire Lads , Wolfe's Own",,,Jacobite rising French and Indian War American Revolutionary War Napoleonic Wars Third Anglo-Maratha War First Anglo-Burmese War Crimean War,,One battalion (two battalions 1794–1795; 1803–1815),,,,
/wiki/48th_Regiment_of_Foot,1741 to 1881,  Kingdom of Great Britain (1741–1800)   United Kingdom (1801–1881),  British Army,Line Infantry,,,"Gibraltar Barracks , Northampton","""The Heroes of Talavera"", ""Murray's Bucks"", ""The Surprisers"", ""Lacedemonians"".",,Quick: Rule Britannia/Speed The Plough Slow: The Northamptonshire,Jacobite rising War of the Austrian Succession French and Indian War Napoleonic Wars Coorg War Crimean War,,One battalion (two battalions 1803–1814),,,,
/wiki/49th_Regiment_of_Foot,1743 to 1881,  Kingdom of Great Britain (1743–1800)   United Kingdom (1801–1881),  British Army,Line infantry,Infantry,,"Brock Barracks , Reading",,,,American Revolutionary War French Revolutionary Wars War of 1812 First Opium War Crimean War,,One battalion (two battalions 1813–1814),,,,
/wiki/Shirley%2527s_Regiment,,,,,,,,,,,,,,,,,
/wiki/50th_Regiment_of_Foot,1755 to 1881,  Kingdom of Great Britain (1755–1800)   United Kingdom (1801–1881),  British Army,Line Infantry,,,"Maidstone Barracks , Kent","""The Dirty Half-Hundred""",,,Seven Years' War Napoleonic Wars Gwalior Campaign First Anglo-Sikh War Crimean War New Zealand Wars,,One battalion (two battalions 1804–1814),,,,
/wiki/51st_(2nd_Yorkshire_West_Riding)_Regiment_of_Foot,1755 to 1881,  Kingdom of Great Britain (1755–1800)   United Kingdom (1801–1881),  British Army,Line Infantry,,,"Pontefract Barracks , West Riding of Yorkshire","""The Stormers""",Cede Nullis (Yield to None),Quick: Jockey to the Fair ; Slow: The Keel Row,Seven Years' War French Revolutionary Wars Kandyan Wars Napoleonic Wars Second Anglo-Burmese War Indian Rebellion Ambela Campaign Second Anglo-Afghan War,,One battalion (two battalions 1804–1814),,,,
/wiki/52nd_(Oxfordshire)_Regiment_of_Foot,1755–1881,  Kingdom of Great Britain (1755–1800)   United Kingdom (1801–1881),  British Army,Line Infantry,Light Infantry,,"Cowley Barracks , Oxford","""The Light Bobs"" [1]",,"""Lower Castle Yard""","American Revolutionary War (1775–1778) including: Lexington and Concord ; Bunker Hill ; Siege of Boston ; Long Island ; White Plains ; Occupation of Newport, Rhode Island ; Fort Washington ; Princeton ; Brandywine ; Philadelphia campaign ; Fort Montgomery Second & Third Anglo-Mysore Wars (1783–1793) including: Cannanore ; Bangalore ; Seringapatam (1792) French Revolutionary Wars (1793–1801) including: Pondicherry , Ceylon , Quiberon , Cadiz , Ferrol Copenhagen (1807) Peninsular War (1808–1814) including: Vimeiro ; Corunna ; Coa ; Bussaco ; Casal Novo; Sabugal ; Fuentes d'Onor ; Ciudad Rodrigo ; Badajoz (1812) ; Salamanca ; Vitoria ; Pyrenees ; San Marcial ; Bidassoa ; Nivelle ; Nive ; Orthez ; Tarbes; Toulouse Walcheren Campaign (1809) Holland (1813–14) Waterloo (1815) Indian Mutiny (1857–8)",,One battalion (two battalions 1799–1803; 1804–1815),,Sir John Clavering (1762–1778) [2] Cyrus Trapaud (1778–1801) [3] Sir John Moore (1801–1809) [4] Sir John Colborne (1811–15) [5],,
/wiki/54th_(West_Norfolk)_Regiment_of_Foot,1755–1881,  Kingdom of Great Britain (1755–1800)   United Kingdom (1801–1881),  British Army,Infantry,,,"Normanton Barracks , Derbyshire",,,,American Revolutionary War French Revolutionary Wars Napoleonic Wars Fifth Xhosa War First Anglo-Burmese War Indian Rebellion,,One battalion (two battalions 1800–1802),,,,
/wiki/55th_(Westmorland)_Regiment_of_Foot,1755–1881,  Kingdom of Great Britain (1755–1800)   United Kingdom (1801–1881),  British Army,,Infantry,,Carlisle Castle,"""The Two Fives""",,,French and Indian War Pontiac's War American Revolutionary War French Revolutionary Wars Napoleonic Wars Fifth Xhosa War Coorg War First Opium War Crimean War Bhutan War,,One battalion,,"George Augustus, Lord Howe",,
/wiki/56th_(West_Essex)_Regiment_of_Foot,1755–1881,  Kingdom of Great Britain (1755–1800)   United Kingdom (1801–1881),  British Army,Line Infantry,,,"Warley Barracks , Brentwood",The Pompadours,Montis insignia Calpe (Badge of the Rock of Gibraltar),"Rule, Britannia!",Seven Years' War American Revolutionary War French Revolutionary Wars Napoleonic Wars Crimean War,,One battalion (two battalions 1804–1817),,,Havannah ; [1] Moro ; Gibraltar ; Sevastopol,
/wiki/57th_(West_Middlesex)_Regiment_of_Foot,1755 to 1881,  Kingdom of Great Britain (1755–1800)   United Kingdom (1801–1881),  British Army,Line Infantry,Light Infantry,,Hounslow Barracks,"""The Die Hards""","Honi soit qui mal y pense (Evil be to Him, who Evil Thinks)",Quick: Sir Manley Power Slow: Caledonian,American Revolutionary War French Revolutionary Wars Napoleonic Wars Crimean War Indian Rebellion New Zealand Wars Anglo-Zulu War,,One battalion (two battalions 1803–1815),,,,
/wiki/58th_(Rutlandshire)_Regiment_of_Foot,1755 to 1881,  Kingdom of Great Britain (1755–1800)   United Kingdom (1801–1881),  British Army,Line Infantry,Infantry,,"Gibraltar Barracks , Northampton",,,,French and Indian War Anglo-Spanish War French Revolutionary Wars Napoleonic Wars New Zealand Wars Anglo-Zulu War First Boer War,,One battalion (two battalions 1804–1815),,,,
/wiki/59th_(2nd_Nottinghamshire)_Regiment_of_Foot,1755–1881,  Kingdom of Great Britain (1755–1800)   United Kingdom (1801–1881),  British Army,,,,"Burnley Barracks , Lancashire",The Lily Whites [1],,,Napoleonic Wars Second Opium War Second Anglo-Afghan War,,One battalion (two battalions 1804–1816),,,,
/wiki/60th_Regiment_of_Foot_(1739%25E2%2580%25931748),,,,,,,,,,,,,,,,,
/wiki/61st_(South_Gloucestershire)_Regiment_of_Foot,10 December 1756–1 July 1881,  Kingdom of Great Britain (1756–1800)   United Kingdom (1801–1881),  British Army,Line Infantry,,,"Horfield Barracks , Bristol","The Silver Tailed Dandies, The Flowers of Toulouse [1]",,The Highland Piper,Seven Years' War Peninsular War Second Anglo-Sikh War Indian Rebellion of 1857,,,,,,
/wiki/62nd_(Wiltshire)_Regiment_of_Foot,10 December 1756–1 July 1881,  Kingdom of Great Britain (1756–1800)   United Kingdom (1801–1881),  British Army,Line Infantry,Line Infantry (at times Light Infantry),,"Le Marchant Barracks , Devizes","""The Springers"" ""The Moonrakers"" ""The Splashers""",Honi Soit Qui Mal y Pense,"""The Vly be on Turmit"" (quick) ""May Blossoms"" (slow) [1]",Seven Years' War American Revolutionary War French Revolutionary Wars Napoleonic Wars First Anglo-Sikh War Crimean War,,One battalion (two battalions 1808–1816),21 December ( Ferozeshah ),,,
/wiki/63rd_(West_Suffolk)_Regiment_of_Foot,10 December 1756–1 July 1881,  Kingdom of Great Britain (1756–1800)   United Kingdom (1801–1881),  British Army,Line Infantry,Infantry,,"Wellington Barracks , Ashton-under-Lyne","""The Bloodsuckers""",,Quick: Slow:,American Revolutionary War French Revolutionary Wars Napoleonic Wars Crimean War,,One battalion (two battalions 1804–1814),,,,
/wiki/Loudon%2527s_Highlanders,,,,,,,,,,,,,,,,,
