C class,6,6,Destroyer,1360 BRT ,329 feet ,138 men ,"4 4.7"" guns (4x1) 2 2pdr AA (2x1) 8 21"" torpedo tubes (2x4)  ",36 knots,"Geared turbines, 2 shafts ",36000 HP ,The specifications as listed above are for the 'normal' C-class destroyers. HMS Kempenfelt/HMCS Assiniboine was fitted as flotilla leader and had some different specifications; Displacement: 1390 BRT Complement: 175 men. These ships were repeat B-class ships with only minor modifications. The C-class destroyers were taken over by the R.C.N. from the R.N. before the Second World War with the exception of the Flotilla leader HMS Kempenfelt. She was taken over in October 1939. The survivors were later modified for escort duties. ,http://uboat.net/allies/warships/class/11.html
D class,10,11,Destroyer,1375 BRT ,329 feet ,145 men ,"4 4.7"" guns (4x1) 2 2pdr AA (2x1) 8 21"" torpedo tubes (2x4) ",36 knots,"Geared turbines, 2 shafts ",36000 HP ,"The specifications as listed above are for the 'normal' D-class destroyers. HMS Duncan was fitted as flotilla leader and had some different specifications; Displacement: 1400 BRT Complement: 175 men. Despite the fact that the Admiralty recognised that the 'standard' British destroyer design looks very week, compared to the larger U.S., French and even Japanese destroyers, they decided to retain the 4.7"" gun as main armament. The D-class destroyers were repeat C-class destroyers with only minor modifications. ",http://uboat.net/allies/warships/class/12.html
E class,10,11,Destroyer,1405 BRT ,329 feet (oa) ,145 men ,"4 4.7"" guns (4x1) 8 .5"" AA (2x4) 8 21"" torpedo tubes (2x4) ",36 knots,"Geared turbines, 2 shafts ",36000 HP ,"The specifications as listed above are for the 'normal' E-class destroyers. HMS Exmouth was fitted as flotilla leader and had some different specifications; Displacement: 1495 BRT Complement: 175 men Lenght: 343 feet (oa) Armament: 5 4.7"" guns (5x1) 8 .5"" AA (2x4) 8 21"" torpedo tubes (2x4) Speed: 36.75 knots Power: 38000 HP With the E-class the Admiralty decided to revert to the enlarged flotilla leader with extra speed and armament based on the A-class leader HMS Codrington. The E-class were fitted with .5"" AA machine guns for Anti-Aircraft defence. These machine guns were not very useful. This was realised as early as 1932 by the Admiralty. Nevertheless the E-class and later destroyer classes were fitted with these machine guns. Also the lack of a good AA director had been realised but when the Second World War broke out little had been undertaken to solve this problem. The 4.7"" guns were on new mountings allowing 40° elevation compared to 30° in the earlier classes. HMS Esk and HMS Express were designed to be modified in 24 hours to the mine laying role. This involved removing of 'A' and 'Y' 4.7"" guns and all the torpedo tubes and the installation of mine rails along the upper deck. They could carry 60 mines. ",http://uboat.net/allies/warships/class/13.html
F class,11,11,Destroyer,1405 BRT ,329 feet (oa) ,145 men ,"4 4.7"" guns (4x1) 8 .5"" AA (2x4) 8 21"" torpedo tubes (2x4) ",36 knots,"Geared turbines, 2 shafts ",36000 HP ,"The specifications as listed above are for the 'normal' F-class destroyers. HMS Faulknor was fitted as flotilla leader and had some different specifications; Displacement: 1495 BRT Complement: 175 men Lenght: 343 feet (oa) Armament: 5 4.7"" guns (5x1) 8 .5"" AA (2x4) 8 21"" torpedo tubes (2x4) Speed: 36.75 knots Power: 38000 HP These vessels were a repeat of the E-class design. ",http://uboat.net/allies/warships/class/14.html
G class,10,11,Destroyer,1350 BRT ,323 feet (oa) ,145 men ,"4 4.7"" guns (4x1) 2 .5"" AA (2x4) 8 21"" torpedo tubes (2x4) (10 21"" torpedo tubes (2x5) in HMS Glowworm) ",36 knots,"Geared turbines, 2 shafts ",34000 HP ,"The specifications as listed above are for the 'normal' G-class destroyers. HMS Grenville was fitted as flotilla leader and had some different specifications; Displacement: 1465 BRT Complement: 175 men Lenght: 330 feet (oa) Armament: 5 4.7"" guns (5x1) 8 .5"" AA (2x4) 8 21"" torpedo tubes (2x4) Speed: 36 knots Power: 38000 HP HMS Grenville was a slightly modified version of the Exmouth/Faulknor design. The G-class destroyer was slightly smaller than the preceding E/F-class destroyers due to some internal reorganisation and the omission of cruising turbines. ",http://uboat.net/allies/warships/class/15.html
H class,10,10,Destroyer,1340 BRT ,323 feet (oa) ,145 men ,"4 4.7"" guns (4x1) 2 .5"" AA (2x4) 8 21"" torpedo tubes (2x4) ",36 knots,"Geared turbines, 2 shafts ",34000 HP ,"The specifications as listed above are for the 'normal' H-class destroyers. HMS Hardy was fitted as flotilla leader and had some different specifications; Displacement: 1455 BRT Complement: 175 men Lenght: 337 feet (oa) Armament: 5 4.7"" guns (5x1) 8 .5"" AA (2x4) 8 21"" torpedo tubes (2x4) Speed: 36 knots Power: 38000 HP HMS Hardy was a basically a repeat Grenville with a tripod foremast. The H-class destroyers were repeat of the G-class. HMS Hero and HMS Hereward were fitted with a new style of bridge. Upon completion Hereward was fitted with an experimental twin 4.7"" gun mounting in 'B'-position. This gun mounting was replaced by two single 4.7"" guns, like in her sister ships, before the war. ",http://uboat.net/allies/warships/class/16.html
I class,11,11,Destroyer,1360 BRT ,323 feet (oa) ,138 men ,"4 4.7"" guns (4x1) 2 .5"" AA (2x4) 10 21"" torpedo tubes (2x5) ",36 knots,"Geared turbines, 2 shafts ",34000 HP ,"The specifications as listed above are for the 'normal' I-class destroyers. HMS Inglefield was fitted as flotilla leader and had some different specifications; Displacement: 1544 BRT Complement: 175 men Lenght: 337 feet (oa) Armament: 5 4.7"" guns (5x1) 8 .5"" AA (2x4) 10 21"" torpedo tubes (2x5) Speed: 36 knots Power: 38000 HP HMS Inglefield was a basically a repeat Hardy with pentad torpedo tubes. The I-class destroyers were repeat of the H-class with some minor alterations. The new type of bridge tried in HMS Hero and HMS Hereward was adopted for the whole class as well as pentad torpedo tubes. HMS Impulsive, HMS Ivanhoe, HMS Intrepid and HMS Icarus were fitted for rapid conversion to minesweepers. Two of the 4.7"" guns (A and Y gun) had to be landed as well as both banks of torpedo tubes. ",http://uboat.net/allies/warships/class/17.html
J class,8,8,Destroyer,1690 (Jervis 1695) BRT ,357 feet (oa) ,183 (Jervis 218) men ,"6 4.7"" guns (3x2) 4 2pdr AA (1x4) 8 .5"" MG AA (2x4) 10 21"" torpedo tubes (2x5) ",36 knots,"Geared turbines, 2 shafts ",40000 HP ,"The J, K and N Class ships were developed as a result of the Admiralty under pressure to cut costs but requiring more new and powerful destroyers. The cost of further Tribal Class ships was attractive but could not be justified on cost grounds. The Staff requirement also required a return to a heavy torpedo outfit. While some see these ships as cut down versions of the Tribal Class they were the first to see the introduction on Longitudinal Frames and other weight saving methods of construction. Several ships owed this method of construction to their survival, HMS Javelin was mined and reduced to less than half her original length, but she was towed in and repaired. Many of the J and K Classes served and were lost in the Mediterranean they participated in many successful engagements, accounting for Italian cruisers, destroyers and many merchant ships. Pennant numbers changes from F .. to G .. in late 1940 (in or around December). ",http://uboat.net/allies/warships/class/18.html
Havant class,6,6,Destroyer,1340 BRT ,323 feet (oa) ,145 men ,"3 4.7"" guns (3x1) 8 .5"" AA (2x4) 8 21"" torpedo tubes (2x4) ",36 knots,"Geared turbines, 2 shafts ",38000 HP ,"Sometimes included with the H class, these six ships were actually built for Brazil. Size and armament was similar but Brazilian specifications for equipment and interior arrangements did not meet Royal Navy standards. These six Brazilian ships were requisitioned by the British government on 4 September 1939 and taken in hand by the Royal Navy. All ships were given British names beginning with H, although HMS Handy was renamed HMS Harvester on 27 February 1940 for fear of the signal clash with HMS Hardy. HMS Hearty was renamed HMS Hesperus on the same date. ",http://uboat.net/allies/warships/class/19.html
Admiralty S class,11,11,Destroyer,905 BRT , ,90 men ,"3 4"" guns (3x1) 1 2pdr AA gun 4 21"" torpedo tubes (2x2) Stronghold, Sturdy and Thracian; 2 4"" guns (2x1) 1 2pdr AA gun 4 21"" torpedo tubes (2x2) mines. ",36 knots,"Geared turbines, 2 shafts ",27000 HP ,"These ships were completely outclassed by modern ships at the start of WW2. Stronghold, Sturdy and Thracian were fitted as minelayers. Thanet, Tenedos, Scout, Stronghold, Thracian and Sturdy sailed for the Far East in 1939 to form local defence flotillas at Hong Kong and Singapore. When the Second World War broke out Sturdy was on passage in the Mediterranean and was detained there. She returned home after the fall of France. ",http://uboat.net/allies/warships/class/20.html
Hunt (Type I) class,20,20,Escort destroyer,1000 BRT ,85.3 m ,146 men ,"4 4"" AA guns (2x2) 4 2pdr AA (1x4) 2 20mm AA (2x1) ",29 knots,"Geared turbines, 2 shafts ",19000 HP ,"Conventional modern destroyers like the Tribal class were too expensive to be built in the numbers required for escort of merchant shipping. The Hunt class was a comparatively inexpensive updated turn of the century ""torpedo boat destroyer"" with modern quick firing guns also suitable for anti-aircraft protection. Endurance was inadequate for trans-Atlantic escort work. The Hunt Class destroyer were conceived as a destroyer for use in the confines of coastal operation such as the North Sea and Mediterranean, they were required to have a good all round armament of 6 4"" HA guns plus lighter weapons. They were not required to be fitted with torpedo tubes. Due to a substantial error in the design it is reported that HMS Atherstone 'lent against the dock' when fitting her ""X"" twin 4 inch mount. This gun was removed and several changes made, All the first group had 50 tons of steel ingots in their bottom to correct their stability problem. Some of the Hunt Class ships never left home waters, these were mostly the Type I ships, many being fitted with a 2 pdr bow chaser pom pom. ",http://uboat.net/allies/warships/class/22.html
Admiralty V & W class,42,42,Destroyer,1188 BRT ,312 feet (oa) ,134 men ,"Original design; 4 4"" guns (4x1) 2 2pdr AA (2x1) 6 21"" torpedo tubes (2x3) Fast escort; 4 4"" AA guns (2x2) 8 .5"" AA (2x4) Short range escort; 3 4"" guns (3x1) 1 3"" AA gun 2 2pdr AA (2x1) 3 21"" torpedo tubes (1x3) Long range escort; 2 4"" guns (2x1) 1 3"" AA gun 2 2pdr AA (2x1) 1 Hedgehog ",34 knots,"Geared turbines, 2 shafts ",30000 HP ,"Most of these vessels were reduced to reserve before the Second World War. During the early part of the war these ships served on fleet duties as well as convoy escort. As the war progressed their fleet duties were taken over by new, more modern destroyers and they were only used as convoy escorts. In 1937 the Admiralty recognized the need for ships with a good long-range anti-aircraft armament and it was decided that a number of the old V&W-class destroyers were to be converted to fast escorts. In the early stages of the war some of the V&W class destroyers were slightly modified to suit them more to their role as convoy escorts. The aftermost gun was landed to allow more depth charges to be fitted and an 3"" AA gun replaced the after bank of torpedo tubes to increase the anti-aircraft armament. These ships were known as the short range escorts. By 1941 the Admiralty was forced to employ every available warship, suitable or not, to the task of convoy protection. Destroyers were not ideal for this task. They were too fast and therefore they had a lack of endurance and were over gunned. With more and more purpose designed escorts arriving on the Atlantic battlegrounds some of the V&W class destroyers could be spared to being refitted to make them more suitable as convoy escort in the future. These ships became the long range escorts. The modifications included the removal of no. 1 boiler and its funnel. This modification reduced the speed of these ships to 25 knots. The space that became free was used for increased bunkerage and extra accommodation. 'A' gun was landed and replaced by a Hedgehog ASW mortar. All remaining torpedo tubes were removed and increased depth charge armament was fitted. Also the anti-aircraft armament was increased but this varied per ship.  ",http://uboat.net/allies/warships/class/23.html
Town class,50,66,Destroyer,1190 BRT ,314 ,190 men ,4 x 4in guns (4x1) 4 21in torpedo tubes Depth charge throwers ,,,,"The Town class of ships were exchanged with Great Britain under a ""ships for bases"" deal agreed between President Roosevelt and Prime Minister Churchill. The deal was for a 100 year lease for bases for the US Armed Forces in the Caribbean. They were not part of the famous ""Lend-lease"" deal later agreed on. The ships were taken in hand prior to delivery for the replacement of American Navy equipment with RN equipment. However on arrival a much more detailed refit was undertaken. Ships retained by the RCN underwent refits in Canadian dockyards. As with all warships further modifications were put in hand as required. HMS Campeltown took part in one of the most dramatic naval operations in WW2 when she was modified and had several tons of explosive fitted in her bow. She was then sailed to occupied St. Nazaire, France where she was rammed into the Atlantic Dock caisson, whereupon she eventually exploded killing a large number of German officers and other troops and destroying the dock caisson. Approximately eighty identical but better preserved destroyers, including USS Reuben James, remained in active service with the United States Navy to become the U-boats' most numerous American adversaries while newer destroyers went to the Pacific.  ",http://uboat.net/allies/warships/class/24.html
K class,8,8,Destroyer,1690 (Kelly 1695) BRT ,357 feet (oa) ,183 (Kelly 218) men ,"6 4.7"" guns (3x2) 4 2pdr AA (1x4) 8 .5"" MG AA (2x4) 10 21"" torpedo tubes (2x5) ",36 knots,"Geared turbines, 2 shafts ",40000 HP ,"The J, K and N Class ships were developed as a result of the Admiralty under pressure to cut costs but requiring more new and powerful destroyers. The cost of further Tribal Class ships was attractive but could not be justified on cost grounds. The Staff requirement also required a return to a heavy torpedo outfit. While some see these ships as cut down versions of the Tribal Class they were the first to see the introduction on Longitudinal Frames and other weight saving methods of construction. Several ships owed this method of construction to their survival, HMS Javelin was mined and reduced to less than half her original length, but she was towed in and repaired. Many of the J and K Classes served and were lost in the Mediterranean they participated in many successful engagements, accounting for Italian cruisers, destroyers and many merchant ships. Pennant numbers changes from F .. to G .. in late 1940 (in or around December). ",http://uboat.net/allies/warships/class/25.html
O class,8,8,Destroyer,1540 BRT ,345 feet ,175 men ,"As designed; 4 4.7"" guns (4x1) 4 2pdr AA (1x4) 6 20mm AA (2x2, 2x1) 8 21"" torpedo tubes(2x4) Upon completion the after bank of torpedo tubes was omitted in favour of a 4"" AA gun. HMS Obdurate, HMS Obedient, HMS Opportune and HMS Orwell were fitted as minelayers and had a different armament when completed; 4 x 4"" guns (4x1) 4 x 2pdr AA (1x40 6 x 20mm (2x2, 2x1) 8 x 21"" torpedo tubes (2x4) ",37 knots,"Geared turbines, 2 shafts ",40000 HP ,The displacement of HMS Onslow was 1550 tons as she was fitted as flotilla leader.  ,http://uboat.net/allies/warships/class/26.html
P class,8,8,Destroyer,1540 BRT ,345 feet ,175 men ,"As designed; 4 4.7"" guns (4x1) 4 2pdr AA (1x4) 6 20mm AA (2x2, 2x1) 8 21"" torpedo tubes ",37 knots,"Geared turbines, 2 shafts ",40000 HP ,"Duo to shortages in the supply of 4.7"" guns these ships were fitted with 4"" guns instead. ",http://uboat.net/allies/warships/class/27.html
Q class,10,10,Destroyer,1692 BRT ,358 feet ,175 men ,"As designed; 4 4.7"" guns (4x1) 4 2pdr AA (1x4) 6 20mm AA (2x2, 2x1) 8 21"" torpedo tubes ",37 knots,"Geared turbines, 2 shafts. ",40000 SHP , ,http://uboat.net/allies/warships/class/28.html
N class,13,16,Destroyer,1690 BRT ,109 metres ,183 men ,"6 4.7"" guns (3x2). 1 4"" AA gun. 4 2pdr AA (1x4). 5 21"" torpedo tubes (1x5). ",36 knots,"Geared turbines, 2 shafts ",40000 SHP ,"The J, K and N Class ships were developed as a result of the Admiralty under pressure to cut costs but requiring more new and powerful destroyers. The cost of further Tribal Class ships was attractive but could not be justified on cost grounds. The Staff requirement also required a return to a heavy torpedo outfit. While some see these ships as cut down versions of the Tribal Class they were the first to see the introduction on Longitudinal Frames and other weight saving methods of construction. Several ships owed this method of construction to their survival, HMS Javelin was mined and reduced to less than half her original length, but she was towed in and repaired. Many of the J and K Classes served and were lost in the Mediterranean they participated in many successful engagement, accounting for Italian cruisers, destroyers and many merchant ships.  ",http://uboat.net/allies/warships/class/29.html
L class,8,8,Destroyer,1920 (Laforey 1935) BRT ,345 feet ,221 men ,"Laforey, Lightning, Lookout and Loyal 6-4.7inch (3x2) 1-4inch (AA) 4-2pdr (AA)(1x4) 8-0.5inch (AA) (2x4) 4-21inch (TT) (1x4) Gurkha, Lance, Legion and Lively 8-4inch (AA)(4x2) 4-2pdr (AA)(1x4) 8-0.5inch (AA) (2x4) 8-21inch (TT) (2x4)  ",36 knots,"Two Admiralty 3-drum boilers, 2-shaft Parsons geared turbines ",48.000 HP ,"Modified J-class design. The main armament was housed in weather-proof mountings. Half the class were however fitted with twin 4"" AA gun mountings due to supply problems with the twin 4.7"" gun mountings.  ",http://uboat.net/allies/warships/class/30.html
M class,8,9,Destroyer,1930 (Milne 1935) BRT ,345 feet ,221 men ,6-4.7inch (3x2) 1-4inch (AA) 4-2pdr (AA)(1x4) 8-0.5inch (AA) (2x4) 4-21inch (TT) (1x4) ,36 knots,48.000 HP ,"Two Admiralty 3-drum boilers, 2-shaft Parsons geared turbines ",Modified J-class design. The main armament was housed in weather-proof mountings. ,http://uboat.net/allies/warships/class/31.html
R class,8,8,Destroyer,1705 BRT ,358 feet ,175 men ,"As designed; 4 4.7"" guns (4x1) 4 2pdr AA (1x4) 6 20mm AA (2x2, 2x1) 8 21"" torpedo tubes ",37 knots,"Geared turbines, 2 shafts ",40000 HP , ,http://uboat.net/allies/warships/class/32.html
S class,8,10,Destroyer,1710 BRT ,363 feet ,180 men ,"As designed; 4 4.5"" guns (4x1) 2 40mm AA (1x2) 6 20mm AA (2x2, 2x1) 8 21"" torpedo tubes ",37 knots,"Geared turbines, 2 shafts ",40000 HP ,"The S Class destroyers were built as the 5th Emergency Flotilla and consisted of 8 ships. HMS Savage carried a twin 4.5"" gun turret in 'A' position. This was an experimental turret designed to be fitted in the 'Battle'-class destroyers. Savage had no single 4.5"" gun fitted in 'B' position, So like her sisters she had also 4 4.5"" guns fitted. ",http://uboat.net/allies/warships/class/33.html
W class,8,8,Destroyer,1710 BRT ,363 feet ,186 men ,"As designed; 4 4.5"" guns (4x1) 2 40mm AA (1x2) 6 20mm AA (2x2, 2x1) 8 21"" torpedo tubes ",37 knots,"Geared turbines, 2 shafts ",40000 HP , ,http://uboat.net/allies/warships/class/34.html
T class,8,8,Destroyer,1710 BRT ,363 feet ,180 men ,"As designed; 4 4.5"" guns (4x1) 2 40mm AA (1x2) 6 20mm AA (2x2, 2x1) 8 21"" torpedo tubes ",37 knots,"Geared turbines, 2 shafts ",40000 HP , ,http://uboat.net/allies/warships/class/35.html
U class,8,8,Destroyer,1710 BRT ,363 feet ,180 men ,"As designed; 4 4.5"" guns (4x1) 2 40mm AA (1x2) 6 20mm AA (2x2, 2x1) 8 21"" torpedo tubes ",37 knots,"Geared turbines, 2 shafts ",40000 HP , ,http://uboat.net/allies/warships/class/36.html
V class,10,10,Destroyer,1710 BRT ,363 feet ,180 men ,"As designed; 4 4.5"" guns (4x1) 2 40mm AA (1x2) 6 20mm AA (2x2, 2x1) 8 21"" torpedo tubes ",37 knots,"Geared turbines, 2 shafts ",40000 HP , ,http://uboat.net/allies/warships/class/37.html
Z class,8,8,Destroyer,1710 BRT ,363 feet ,186 men ,"As designed; 4 4.5"" guns (4x1) 2 40mm AA (1x2) 6 20mm AA (2x2, 2x1) 8 21"" torpedo tubes  ",37 knots,"Geared turbines, 2 shafts ",40000 HP , ,http://uboat.net/allies/warships/class/38.html
Ca class,8,8,Destroyer,1710 BRT ,363 feet ,186 men ,"As designed; 4 4.5"" guns (4x1) 2 40mm AA (1x2) 6 20mm AA (2x2, 2x1) 8 21"" torpedo tubes ",37 knots,"Geared turbines, 2 shafts ",40000 HP , ,http://uboat.net/allies/warships/class/39.html
Battle class,18,18,Destroyer,2325 BRT ,379 feet ,240+ men ,"As designed; 4 4.5"" guns (2x2) 1 4"" AA gun 8 40mm AA (4x2) 6 20mm AA (2x2, 2x1) 10 21"" torpedo tubes (2x5)  ",36 knots,"Geared turbines, 2 shafts ",50000 HP ,"There were another 23 destroyers often referred to as the ""2nd Group"" ordered of this class but none was completed before end of the Second World War so these are not included here. 15 of those 2nd Group ships were cancelled before completion in 1947 and scrapped on the slipways. ",http://uboat.net/allies/warships/class/40.html
Flower (rev.) class,63,82,Corvette,980 BRT ,208.25 feet (oa) ,109 men ,"1 4"" gun 1 2pdr AA 6 20mm AA ",16 knots,"Reciprocating engine, 1 shaft ",2880 HP ,Slightly modified version of the original Flower class design. There range was increased as well as their AA and AS armament (a Hedgehog was fitted). ,http://uboat.net/allies/warships/class/41.html
